DSN Contacts
Spacecraft = MMS2
Attitude = Ideal Mission Attitude
StartTime = 2021-051/03:45:00 UTC  (MMS TAI: 1624592669)
StopTime = 2021-268/11:55:00 UTC  (MMS TAI: 1624592669)
Project = System Manager Contact Analysis
Source = FDGSS OPS
FileCreationDate = Feb 17 2021 12:33:09.342 UTC
Stations = Goldstone (DS24, DS26), Canberra (DS34, DS36), Madrid (DS54, DS56, DS65)

Contact Event            Entry Epoch (UTC)        Exit Epoch (UTC)         Duration (min)           Data Rate                AOS Constraint           LOS Constraint           
DS65 --> MMS2_1          2021-057/13:43:31        2021-057/14:54:09        70.63333                 2.50 Mbps                ReturnDataRate           Mask                     
DS26 --> MMS2_1          2021-057/17:57:18        2021-057/22:15:43        258.41667                1.25 Mbps                FieldOfView              ReturnDataRate           
DS24 --> MMS2_1          2021-057/17:57:21        2021-057/22:15:42        258.35000                1.25 Mbps                FieldOfView              ReturnDataRate           
DS26 --> MMS2_1          2021-057/18:44:33        2021-057/22:05:19        200.76667                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS24 --> MMS2_1          2021-057/18:44:34        2021-057/22:05:19        200.75000                2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_1          2021-057/21:44:59        2021-058/00:13:11        148.20000                1.25 Mbps                FieldOfView              ReturnDataRate           
DS34 --> MMS2_1          2021-057/21:44:59        2021-057/23:29:41        104.70000                2.50 Mbps                FieldOfView              ReturnDataRate           
DS36 --> MMS2_1          2021-057/22:22:15        2021-058/00:13:11        110.93333                1.25 Mbps                Mask                     ReturnDataRate           
DS36 --> MMS2_1          2021-057/22:22:15        2021-057/23:29:41        67.43333                 2.50 Mbps                Mask                     ReturnDataRate           
DS26 --> MMS2_1          2021-057/22:34:27        2021-057/23:08:49        34.36667                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS24 --> MMS2_1          2021-057/22:34:27        2021-057/23:08:49        34.36667                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS26 --> MMS2_1          2021-057/22:49:44        2021-057/23:03:38        13.90000                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS24 --> MMS2_1          2021-057/22:49:44        2021-057/23:03:38        13.90000                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS26 --> MMS2_1          2021-057/23:46:44        2021-058/00:12:23        25.65000                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS24 --> MMS2_1          2021-057/23:46:44        2021-058/00:12:22        25.63333                 1.25 Mbps                ReturnDataRate           ReturnDataRate           
DS34 --> MMS2_1          2021-057/23:49:41        2021-058/00:10:09        20.46667                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_1          2021-057/23:49:41        2021-058/00:10:09        20.46667                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS26 --> MMS2_1          2021-057/23:56:33        2021-058/00:07:58        11.41667                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS24 --> MMS2_1          2021-057/23:56:31        2021-058/00:07:58        11.45000                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS26 --> MMS2_1          2021-058/00:24:44        2021-058/00:41:27        16.71667                 1.25 Mbps                ReturnDataRate           FieldOfView              
DS24 --> MMS2_1          2021-058/00:24:43        2021-058/00:41:22        16.65000                 1.25 Mbps                ReturnDataRate           FieldOfView              
DS26 --> MMS2_1          2021-058/00:29:20        2021-058/00:41:27        12.11667                 2.50 Mbps                ReturnDataRate           FieldOfView              
DS24 --> MMS2_1          2021-058/00:29:20        2021-058/00:41:22        12.03333                 2.50 Mbps                ReturnDataRate           FieldOfView              
DS34 --> MMS2_1          2021-058/00:30:27        2021-058/02:44:23        133.93333                1.25 Mbps                ReturnDataRate           FieldOfView              
DS36 --> MMS2_1          2021-058/00:30:27        2021-058/02:32:18        121.85000                1.25 Mbps                ReturnDataRate           Mask                     
DS34 --> MMS2_1          2021-058/00:41:31        2021-058/01:02:03        20.53333                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
DS36 --> MMS2_1          2021-058/00:41:30        2021-058/01:02:02        20.53333                 2.50 Mbps                ReturnDataRate           ReturnDataRate           
